original_intent,clean_intent,duration_minutes,embedding_preview
"finish putting work in Workflowy, then go accross","finish putting work in Workflowy, then go accross",15.0,"[-0.048822786659002304, 0.021116139367222786, 0.006802626885473728, -0.04595706984400749, -0.015898868441581726]..."
check intend,check intend,5.0,"[-0.01746825873851776, 0.001998412888497114, -0.019014589488506317, 0.020139826461672783, 0.003397207008674741]..."
Edit and resub bio essay,Edit and resub bio essay,45.0,"[0.019703442230820656, 0.005802548956125975, -0.005255290772765875, -0.043363217264413834, -0.01567143015563488]..."
test out anthropic dev consol,test out anthropic dev consol,15.0,"[-0.02754484862089157, -0.024957431480288506, -0.030218306928873062, -0.01678290031850338, 0.0007558537763543427]..."
research cost comparision of OpenAI vs claude and subscription vs buying credits,research cost comparision of OpenAI vs claude and subscription vs buying credits,30.0,"[0.004931336268782616, 0.021227234974503517, -0.007637246046215296, -0.04508814960718155, -0.045930393040180206]..."
"Keep comparing costs - current plan is cancel sub, use dev consols","Keep comparing costs - current plan is cancel sub, use dev consols",30.0,"[-0.010628982447087765, 0.005396456457674503, -0.005165963899344206, -0.07253838330507278, 0.0007111419108696282]..."
do a bit more research,do a bit more research,50.0,"[0.005577840842306614, -0.02308993972837925, -0.044232387095689774, 0.044876448810100555, -0.025193387642502785]..."
intend.do,intend.do,15.0,"[-0.015333948656916618, 0.04152461513876915, -0.016779277473688126, -0.06843355298042297, -0.0005303448415361345]..."
RemNote review,RemNote review,90.0,"[0.017680902034044266, -0.09598841518163681, 0.0009911584202200174, 0.0409042052924633, -0.007841574028134346]..."
intend.do,intend.do,30.0,"[-0.015333948656916618, 0.04152461513876915, -0.016779277473688126, -0.06843355298042297, -0.0005303448415361345]..."
"keep watching demo, then update Workflowy (WFY) then do cards","keep watching demo, then update Workflowy (WFY) then do cards",10.0,"[-0.023488705977797508, 0.003974615130573511, -0.027280954644083977, -0.0494842492043972, -0.01625438779592514]..."
RN cards 40 mins,RN cards 40 mins,40.0,"[0.014687489718198776, -0.06773748993873596, -0.02531825564801693, 0.023559020832180977, -0.05262697488069534]..."
get windsurf runing,get windsurf runing,10.0,"[-0.06692373007535934, 0.025252575054764748, 0.001064747804775834, 0.03928495943546295, 0.04721704125404358]..."
test,test,3.0,"[-0.024686766788363457, 0.003065709490329027, -0.05607837811112404, 0.018540963530540466, -0.05402717739343643]..."
test,test,25.0,"[-0.024686766788363457, 0.003065709490329027, -0.05607837811112404, 0.018540963530540466, -0.05402717739343643]..."
work on ASP converter,work on ASP converter,20.0,"[-0.023127233609557152, 0.002100373851135373, 0.032829172909259796, 0.0028624068945646286, 0.026046816259622574]..."
test,test,1.0,"[-0.024686766788363457, 0.003065709490329027, -0.05607837811112404, 0.018540963530540466, -0.05402717739343643]..."
test,test,1.0,"[-0.024686766788363457, 0.003065709490329027, -0.05607837811112404, 0.018540963530540466, -0.05402717739343643]..."
test,test,1.0,"[-0.024686766788363457, 0.003065709490329027, -0.05607837811112404, 0.018540963530540466, -0.05402717739343643]..."
get docker working and test 1 line install of I_tool,get docker working and test 1 line install of I_tool,20.0,"[-0.0818677470088005, -0.0192521084100008, -0.025529038161039352, -0.0886203721165657, -0.03336617350578308]..."
take a short blog break,take a short blog break,60.0,"[-0.0019179938826709986, 0.07941917330026627, -0.03120637871325016, -0.01190253347158432, -0.023149825632572174]..."
WS rulss,WS rulss,10.0,"[-0.021767469123005867, -0.05513408035039902, 0.00394671643152833, 0.022713610902428627, 0.0027190824039280415]..."
text A,text A,10.0,"[0.005317465402185917, -0.07242795079946518, 0.013682360760867596, -0.009583568200469017, -0.01630372367799282]..."
Intend.do,Intend.do,15.0,"[-0.015333948656916618, 0.04152461513876915, -0.016779277473688126, -0.06843355298042297, -0.0005303448415361345]..."
RemNote 30 mins,RemNote 30 mins,20.0,"[-0.05257449671626091, -0.1354599893093109, -0.022415507584810257, 0.015493861399590969, -0.03410126268863678]..."
write s2c report and understand it,write s2c report and understand it,30.0,"[0.01748914271593094, -0.0359053872525692, 0.0008889879682101309, 0.011780457571148872, -0.025600112974643707]..."
make docs with gemini,make docs with gemini,20.0,"[-0.014220459386706352, 0.03430626913905144, 0.010170117020606995, -0.03772120177745819, -0.028731927275657654]..."
build AST convert4tre,build AST convert4tre,20.0,"[-0.05477655678987503, -0.051334284245967865, -0.024483688175678253, 0.0016925848321989179, 0.030905283987522125]..."
build sleect to ast converter,build sleect to ast converter,10.0,"[-0.054538171738386154, -0.02222302556037903, 0.004342744126915932, 0.018195779994130135, 0.032970041036605835]..."
get lark workign,get lark workign,30.0,"[-0.010362327098846436, 0.009814217686653137, -0.01697487384080887, -0.03313157334923744, -0.001993912272155285]..."
read,read,40.0,"[0.007110266946256161, 0.025356350466609, 0.0183964092284441, 0.058498211205005646, -0.03505890071392059]..."
calll a ,calll a,30.0,"[-0.010552208870649338, 0.008532541804015636, -0.003651892766356468, -0.018443481996655464, -0.010550567880272865]..."
Intend.do,Intend.do,10.0,"[-0.015333948656916618, 0.04152461513876915, -0.016779277473688126, -0.06843355298042297, -0.0005303448415361345]..."
intend.do,intend.do,10.0,"[-0.015333948656916618, 0.04152461513876915, -0.016779277473688126, -0.06843355298042297, -0.0005303448415361345]..."
finish intend.do,finish intend.do,3.0,"[-0.02263762429356575, 0.07626068592071533, -0.010526266880333424, -0.08375588804483414, 0.01004666369408369]..."
"break for 5 mins - go brush teeth, move around","break for 5 mins - go brush teeth, move around",5.0,"[-0.018324464559555054, -0.04662177339196205, -0.030120715498924255, -0.030239392071962357, -0.00019417447037994862]..."
yay! It is all working!!!!,yay! It is all working!!!!,1.0,"[0.013762500137090683, -0.03043767623603344, -0.0012398810358718038, 0.016621271148324013, 0.0445987731218338]..."
look at exam schedual -  make remnote card specs for each class,look at exam schedual -  make remnote card specs for each class,10.0,"[-0.0321274995803833, -0.08039166778326035, -0.03790857270359993, 0.06863107532262802, 0.022090988233685493]..."
make physics flashcards,make physics flashcards,10.0,"[-0.0315912626683712, -0.09942971169948578, -0.03803284466266632, -0.021415868774056435, 0.015136907808482647]..."
I wonder if the time between timeouts increases? Also there should be no max.,I wonder if the time between timeouts increases? Also there should be no max.,5.0,"[0.005766012240201235, -0.11377662420272827, -0.017234081402420998, 0.001447233953513205, 0.04337194934487343]..."
make physics flashcards,make physics flashcards,20.0,"[-0.0315912626683712, -0.09942971169948578, -0.03803284466266632, -0.021415868774056435, 0.015136907808482647]..."
edit physics cards,edit physics cards,10.0,"[0.024633707478642464, -0.04355348274111748, -0.02006547525525093, 0.07386237382888794, 0.03230650722980499]..."
look at physics cards,look at physics cards,6.0,"[0.009637930430471897, -0.052889078855514526, -0.05288742110133171, 0.07479270547628403, 0.023311156779527664]..."
Bio cards,Bio cards,20.0,"[0.043884798884391785, -0.0413646399974823, -0.010993010364472866, 0.004468170925974846, 0.029131554067134857]..."
"Download bio slides, then take a break!","Download bio slides, then take a break!",10.0,"[-0.03780723735690117, 0.004315753933042288, -0.05485086515545845, -0.0060589914210140705, 0.01630513370037079]..."
break,break,30.0,"[-0.0649121105670929, 0.029460161924362183, -0.027788542211055756, -0.006730305962264538, -0.028951536864042282]..."
Turn slideshows into notes,Turn slideshows into notes,10.0,"[-0.04644511640071869, 0.0014845571713522077, 0.010108031332492828, 0.05131658539175987, -0.01250956580042839]..."
finish bio presentation,finish bio presentation,30.0,"[-0.019251232966780663, 0.00894811563193798, 0.0006656856276094913, -0.030494756996631622, -0.010049459524452686]..."
order joe rogan joke book for graduation,order joe rogan joke book for graduation,13.0,"[0.03260883688926697, 0.14116793870925903, 0.01227918453514576, -0.048928700387477875, 0.0014354466693475842]..."
finish bio presentation,finish bio presentation,60.0,"[-0.019251232966780663, 0.00894811563193798, 0.0006656856276094913, -0.030494756996631622, -0.010049459524452686]..."
finish bio essay,finish bio essay,15.0,"[0.013794773258268833, 0.08299210667610168, 0.017832083627581596, -0.06177905946969986, 0.015468763187527657]..."
edit focus session tool to stop timing out after 3 timeouts,edit focus session tool to stop timing out after 3 timeouts,2.0,"[-0.0035595912486314774, -0.09991909563541412, 0.028307707980275154, 0.022402187809348106, 0.05797422677278519]..."
extend,extend,15.0,"[0.010908420197665691, 0.0262602511793375, -0.03195296972990036, -0.012057056650519371, -0.004666781984269619]..."
wite zaide thing,wite zaide thing,20.0,"[0.02177208475768566, 0.007636134047061205, 0.030768927186727524, -0.0011295221047475934, 0.04137016460299492]..."
play with claude 4 opus,play with claude 4 opus,40.0,"[0.013210657984018326, 0.044396042823791504, -0.017305167391896248, 0.04837781563401222, -0.03911435976624489]..."
check if cursor has opus 4,check if cursor has opus 4,5.0,"[-0.005761376116424799, -0.0023278985172510147, -0.026598148047924042, 0.042869653552770615, -0.020916134119033813]..."
see if windsurf / cursor is givng me tokens at a discount,see if windsurf / cursor is givng me tokens at a discount,20.0,"[-0.03704748675227165, 0.01332615315914154, -0.013481096364557743, 0.035858720541000366, -0.013386402279138565]..."
write zaide thing!! new tab!!,write zaide thing!! new tab!!,10.0,"[-0.01211305521428585, -0.014924172312021255, 0.016880111768841743, -0.018658973276615143, 0.02775983139872551]..."
see about windsurf referal program and take a look at finances,see about windsurf referal program and take a look at finances,10.0,"[-0.04463072866201401, 0.04531852528452873, -0.004971947055310011, -0.014901521615684032, 0.10752150416374207]..."
read windsruf docs,read windsruf docs,45.0,"[-0.06481511890888214, -0.03160044178366661, -0.009607371874153614, 0.04743161424994469, -0.014994439668953419]..."
read more docs,read more docs,28.0,"[0.028589922934770584, -0.015117231756448746, 0.0036234338767826557, 0.024630384519696236, 0.028390778228640556]..."
learn how to open terminal in VS code,learn how to open terminal in VS code,16.0,"[-0.06255000829696655, -0.028672456741333008, -0.03736179694533348, -0.020162371918559074, 0.03528309613466263]..."
create indend.do clone with opus and WS - start by creating a PRD - wanna use claude but rate limited - 2nd best is gemini 2.5pro I guess - UI fucking sucks though,create indend.do clone with opus and WS - start by creating a PRD - wanna use claude but rate limited - 2nd best is gemini 2.5pro I guess - UI fucking sucks though,10.0,"[-0.04556620493531227, 0.054047103971242905, 0.0019566661212593317, 0.00387389212846756, -0.05270093306899071]..."
get opus to clone intend.do,get opus to clone intend.do,50.0,"[-0.020162969827651978, 0.11189744621515274, -0.021087149158120155, -0.0016972400480881333, -0.03496347367763519]..."
im in shock. I should go to bed. But holy holy holy holy fuck. PRD => product in 3 hours for 30$. With auth!!!!! Oh my goodness. Opus 4 is AGI.,im in shock. I should go to bed. But holy holy holy holy fuck. PRD => product in 3 hours for 30$. With auth!!!!! Oh my goodness. Opus 4 is AGI.,30.0,"[-0.02312459796667099, 0.039958082139492035, -0.01714901067316532, 0.021707432344555855, -0.04710179194808006]..."
intend.do,intend.do,10.0,"[-0.015333948656916618, 0.04152461513876915, -0.016779277473688126, -0.06843355298042297, -0.0005303448415361345]..."
migrate workfoy to remNote,migrate workfoy to remNote,12.0,"[-0.02250676043331623, 0.05002893880009651, 0.020084984600543976, -0.0037128417752683163, 0.03417104482650757]..."
write out ideas of what ai coding should look like and what the knowledge system should look like,write out ideas of what ai coding should look like and what the knowledge system should look like,15.0,"[0.028703635558485985, 0.02393575757741928, -0.0478653758764267, -0.009212545119225979, -0.015783971175551414]..."
write out key features of knowledge managemnet systems,write out key features of knowledge managemnet systems,20.0,"[0.033027283847332, -0.05103934928774834, -0.013611438684165478, 0.026717359200119972, -0.02414078824222088]..."
AI the key features out of this blog post,AI the key features out of this blog post,20.0,"[0.02259533666074276, 0.04430783540010452, -0.030683385208249092, -0.006967002991586924, -0.016683753579854965]..."
review intend.do,review intend.do,10.0,"[0.0038788600359112024, 0.014785409905016422, -0.01746363937854767, -0.04925530031323433, -0.021641990169882774]..."
fact check breathing article,fact check breathing article,25.0,"[0.013772841542959213, 0.01699085906147957, -0.014255603775382042, 0.05138561502099037, -0.03785893693566322]..."
read AC10,read AC10,25.0,"[-0.04663414880633354, -0.059711288660764694, -0.026094455271959305, 0.020577358081936836, 0.003969635348767042]..."
intend.do review,intend.do review,35.0,"[0.02064352296292782, 0.01585095189511776, -0.02052239514887333, -0.06476229429244995, -0.026412665843963623]..."
finish intention review - onbly that not multitasking!,finish intention review - onbly that not multitasking!,7.0,"[-0.012610075064003468, 0.0022677984088659286, -0.04030127823352814, -0.06252072751522064, -0.017358146607875824]..."
finish inention review,finish inention review,7.0,"[-0.035042233765125275, 0.0013206751318648458, -0.0063770911656320095, -0.035756051540374756, -0.03235761821269989]..."
make autotype work,make autotype work,6.0,"[-0.035068411380052567, 0.007222004700452089, 0.015488795936107635, -0.01259457878768444, 0.05387969687581062]..."
Do remnote practice for 40 mins,Do remnote practice for 40 mins,40.0,"[-0.028348581865429878, -0.11207415908575058, -0.020115362480282784, 0.031063904985785484, -0.004966171458363533]..."
read LW posts,read LW posts,30.0,"[0.005473752040416002, 0.015508586540818214, 0.01629951409995556, 0.10900556296110153, -0.049869634211063385]..."
RemNote for 30 mins],RemNote for 30 mins],30.0,"[-0.05045590549707413, -0.12165746837854385, -0.027129946276545525, 0.020777001976966858, -0.007994776591658592]..."
remnote notes,remnote notes,30.0,"[0.015811260789632797, -0.10774604231119156, -0.008167551830410957, 0.05294380336999893, 0.005396068561822176]..."
Make bio presentation notes with AI,Make bio presentation notes with AI,10.0,"[-0.005175902042537928, 0.0037536469753831625, -0.004952103830873966, -0.01620001345872879, -0.028633514419198036]..."
Acutally lock in and make and print speaker notes,Acutally lock in and make and print speaker notes,10.0,"[-0.060406461358070374, -0.03296763449907303, 0.013501000590622425, 0.04337518662214279, -0.014942462556064129]..."
get v1 of ASP thing running,get v1 of ASP thing running,2.0,"[-0.048745229840278625, 0.010926814749836922, 0.008219631388783455, -0.013328873552381992, -0.035653676837682724]..."
get v1 of ASP thing running,get v1 of ASP thing running,25.0,"[-0.048745229840278625, 0.010926814749836922, 0.008219631388783455, -0.013328873552381992, -0.035653676837682724]..."
"make ASP docs, then make simple SLEEC thing run in clingo","make ASP docs, then make simple SLEEC thing run in clingo",30.0,"[-0.01034504547715187, -0.02021043188869953, 0.028610823675990105, -0.030198700726032257, 0.0565011128783226]..."
block lesswrong and block past 9 pm,block lesswrong and block past 9 pm,5.0,"[-0.030145104974508286, 0.018466655164957047, -0.00616054143756628, -0.013607083819806576, 0.0255116056650877]..."
test,test,1.0,"[-0.024686766788363457, 0.003065709490329027, -0.05607837811112404, 0.018540963530540466, -0.05402717739343643]..."
intend.dop,intend.dop,15.0,"[-0.011158861219882965, 0.04183439165353775, -0.0006331225158646703, -0.0759454071521759, -0.012724370695650578]..."
cards,cards,30.0,"[0.01606757938861847, 0.009780419990420341, -0.02091916650533676, 0.004729755222797394, -0.005295224487781525]..."
cards,cards,45.0,"[0.01606757938861847, 0.009780419990420341, -0.02091916650533676, 0.004729755222797394, -0.005295224487781525]..."
finish cards,finish cards,30.0,"[-0.04311233386397362, 0.03514478728175163, -0.02201046608388424, 0.002560223452746868, 0.002830827608704567]..."
find todo list,find todo list,5.0,"[0.018535960465669632, 0.011217961087822914, -0.05213655158877373, 0.04902724549174309, 0.03432660549879074]..."
work on Cling thing - get grammer checker working,work on Cling thing - get grammer checker working,10.0,"[0.02013268694281578, -0.05337507650256157, 0.005574609152972698, 0.004130756016820669, -0.02748163230717182]..."
Chestunt application,Chestunt application,10.0,"[-0.004670725669711828, -0.07893029600381851, -0.0008781087817624211, 0.02582043968141079, -0.02203407511115074]..."
chstunt application,chstunt application,25.0,"[-0.06936018168926239, -0.0675293356180191, -0.027559436857700348, -0.022484678775072098, -0.02663467265665531]..."
analies 1on1,analies 1on1,45.0,"[-0.00853541400283575, 0.02584954909980297, -0.048843517899513245, 0.010737624950706959, -0.019385624676942825]..."
finish analiese planning,finish analiese planning,10.0,"[-0.04364112764596939, 0.036833275109529495, -0.027314381673932076, 0.004924990702420473, 0.0031595469918102026]..."
Add up hours for her plan,Add up hours for her plan,4.0,"[-0.04924654960632324, 0.017086347565054893, -0.015446525067090988, 0.02619387023150921, -0.02392374910414219]..."
Opitmization problems,Opitmization problems,50.0,"[-0.022791245952248573, 0.04516250640153885, -0.018611790612339973, 0.0023142031859606504, 0.002967328764498234]..."
help A with plan,help A with plan,40.0,"[0.014084470458328724, 0.027741745114326477, -0.023328686133027077, 0.014256361871957779, -0.017191773280501366]..."
Make her the math thing and send it to her,Make her the math thing and send it to her,20.0,"[-0.020559202879667282, 0.04914139211177826, -0.015391632914543152, 0.031163547188043594, -0.015298507176339626]..."
send A her website,send A her website,10.0,"[-0.009131714701652527, 0.04112505540251732, 0.015046196058392525, 0.027199648320674896, 0.03164549171924591]..."
read analysis,read analysis,10.0,"[-0.014722321182489395, -0.00981052778661251, -0.024753723293542862, 0.03597905859351158, -0.021864986047148705]..."
finish and send expense report,finish and send expense report,10.0,"[-0.03154510259628296, 0.0593980997800827, 0.01679633930325508, -0.03129677101969719, 0.034604258835315704]..."
grab sleec examples,grab sleec examples,30.0,"[-0.005418365355581045, 0.011286379769444466, 0.0012756085488945246, 0.07031352072954178, 0.010908287949860096]..."
get claude 4 opus to write a SLEEC guide similar to the clingo one,get claude 4 opus to write a SLEEC guide similar to the clingo one,15.0,"[0.0352909117937088, 0.009243338368833065, -0.003278865246102214, 0.04379255324602127, 0.0014493918279185891]..."
get examples and sleec things really rock solid,get examples and sleec things really rock solid,20.0,"[0.009376486763358116, -0.05278021842241287, -0.00339256483130157, 0.035073015838861465, -0.02710885927081108]..."
get claude to build parser checker,get claude to build parser checker,10.0,"[0.004024594556540251, 0.07279407232999802, -0.015243126079440117, 0.04308890923857689, 0.0059475670568645]..."
make sleec grammer checker,make sleec grammer checker,10.0,"[0.007665697950869799, -0.00012548922677524388, 0.0029515952337533236, 0.050024230033159256, -0.014669587835669518]..."
add the sleec exampes,add the sleec exampes,35.0,"[-0.013882817700505257, 0.00463156308978796, -0.015018941834568977, 0.029354965314269066, 0.030316751450300217]..."
finish sleec 2 clingo convereter,finish sleec 2 clingo convereter,30.0,"[-0.01585236005485058, -0.043219827115535736, 0.0040443092584609985, 0.04396926611661911, 0.0010011487174779177]..."
"push thing to repo, test it a few times","push thing to repo, test it a few times",20.0,"[-0.020917445421218872, 0.04703078791499138, -0.00557692302390933, -0.039736583828926086, -0.016247127205133438]..."
debug till 12:00 20 more min,debug till 12:00 20 more min,35.0,"[-0.03379090875387192, -0.05717509239912033, -0.012862347066402435, 0.019397912546992302, 0.007997983135282993]..."
intend.do,intend.do,20.0,"[-0.015333948656916618, 0.04152461513876915, -0.016779277473688126, -0.06843355298042297, -0.0005303448415361345]..."
cards,cards,5.0,"[0.01606757938861847, 0.009780419990420341, -0.02091916650533676, 0.004729755222797394, -0.005295224487781525]..."
see if I have stuff on magnatice feilds in my physics prep,see if I have stuff on magnatice feilds in my physics prep,55.0,"[-0.06400636583566666, -0.0307913925498724, -0.009891198016703129, 0.04181812331080437, 0.014635687693953514]..."
get s2c working,get s2c working,30.0,"[0.0441015288233757, 0.03765862062573433, 0.04314878582954407, 0.012074421159923077, 0.0440707802772522]..."
run some testing,run some testing,15.0,"[-0.023931264877319336, -0.033555395901203156, -0.024117955937981606, 0.033534936606884, -0.025879813358187675]..."
test more,test more,10.0,"[-0.007605847902595997, -0.009006025269627571, -0.05658465996384621, 0.040575671941041946, -0.0056246500462293625]..."
practice for bio presentation,practice for bio presentation,22.0,"[-0.009701838716864586, -0.05740624666213989, -0.008483977057039738, -0.0007743547321297228, -0.01607498899102211]..."
plan out stuff,plan out stuff,35.0,"[-0.02291453815996647, 0.01921357586979866, -0.02427438274025917, -0.013645912520587444, 0.027156544849276543]..."
Add up times and see - then assign times,Add up times and see - then assign times,15.0,"[-0.042337894439697266, -0.005944169592112303, -0.00011857543722726405, 0.029641272500157356, -0.051645781844854355]..."
intend.do,intend.do,15.0,"[-0.015333948656916618, 0.04152461513876915, -0.016779277473688126, -0.06843355298042297, -0.0005303448415361345]..."
